Cells,PF3D7_0100100,PF3D7_0100300,PF3D7_0115700,PF3D7_0200100,PF3D7_0223500,PF3D7_0300100,PF3D7_0324900,PF3D7_0400100,PF3D7_0400400,PF3D7_0412400,PF3D7_0412700,PF3D7_0412900,PF3D7_0413100,PF3D7_0420700,PF3D7_0420900,PF3D7_0421100,PF3D7_0421300,PF3D7_0425800,PF3D7_0426000,PF3D7_0500100,PF3D7_0533100,PF3D7_0600200,PF3D7_0600400,PF3D7_0617400,PF3D7_0632500,PF3D7_0632800,PF3D7_0700100,PF3D7_0711700,PF3D7_0712000,PF3D7_0712300,PF3D7_0712400,PF3D7_0712600,PF3D7_0712800,PF3D7_0712900,PF3D7_0733000,PF3D7_0800100,PF3D7_0800200,PF3D7_0800300,PF3D7_0808600,PF3D7_0808700,PF3D7_0809100,PF3D7_0833500,PF3D7_0900100,PF3D7_0937600,PF3D7_0937800,PF3D7_1000100,PF3D7_1041300,PF3D7_1100100,PF3D7_1100200,PF3D7_1150400,PF3D7_1200100,PF3D7_1200400,PF3D7_1200600,PF3D7_1219300,PF3D7_1240300,PF3D7_1240400,PF3D7_1240600,PF3D7_1240900,PF3D7_1255200,PF3D7_1300100,PF3D7_1300300,PF3D7_1373500
LowManyA_8950,0,0,0,0,16,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,2,0,0,0
LowManyA_7009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LowManyA_7005,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,3,0,1,1,0,5,0,0,0,0,4,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0
LowManyA_2621,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
LowManyA_709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
LowManyA_484,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0
LowManyA_3722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LowManyA_6483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,17,1,9,0,0,0,0,0,0,0,0,10,0,0,0,0,0,2,2,0,0,0,0,0
LowManyA_4790,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,2,0,5,0,0,0,0,3,0,0,0,0,0
LowManyA_821,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
