Cells,PF3D7_0100100,PF3D7_0100300,PF3D7_0115700,PF3D7_0200100,PF3D7_0223500,PF3D7_0300100,PF3D7_0324900,PF3D7_0400100,PF3D7_0400400,PF3D7_0412400,PF3D7_0412700,PF3D7_0412900,PF3D7_0413100,PF3D7_0420700,PF3D7_0420900,PF3D7_0421100,PF3D7_0421300,PF3D7_0425800,PF3D7_0426000,PF3D7_0500100,PF3D7_0533100,PF3D7_0600200,PF3D7_0600400,PF3D7_0617400,PF3D7_0632500,PF3D7_0632800,PF3D7_0700100,PF3D7_0711700,PF3D7_0712000,PF3D7_0712300,PF3D7_0712400,PF3D7_0712600,PF3D7_0712800,PF3D7_0712900,PF3D7_0733000,PF3D7_0800100,PF3D7_0800200,PF3D7_0800300,PF3D7_0808600,PF3D7_0808700,PF3D7_0809100,PF3D7_0833500,PF3D7_0900100,PF3D7_0937600,PF3D7_0937800,PF3D7_1000100,PF3D7_1041300,PF3D7_1100100,PF3D7_1100200,PF3D7_1150400,PF3D7_1200100,PF3D7_1200400,PF3D7_1200600,PF3D7_1219300,PF3D7_1240300,PF3D7_1240400,PF3D7_1240600,PF3D7_1240900,PF3D7_1255200,PF3D7_1300100,PF3D7_1300300,PF3D7_1373500
HighSingleA_7080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HighSingleA_3529,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,30,8,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,1,0,0,3,0
HighSingleA_499,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
HighSingleA_8079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,49,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
HighSingleA_1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,33,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HighSingleA_516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
HighSingleA_2211,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1
HighSingleA_4782,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0
HighSingleA_7724,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,2,0,36,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
HighSingleA_9788,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,63,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,3,0,0,0,0,0,3,0,0,0,1,0,0
HighSingleA_6559,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0
HighSingleA_541,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,39,0,0,0,0,0,0,0,2,3,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
